Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SR Tendulkar (IND),1989-2013,664,782,74,34357,248,48.52,50817,67.58,100,164,34,4076,264
KC Sangakkara (Asia/ICC/SL),2000-2015,594,666,67,28016,319,46.77,42086,66.56,63,153,28,3015,159
RT Ponting (AUS/ICC),1995-2012,560,668,70,27483,257,45.95,40130,68.48,71,146,39,2781,246
V Kohli (IND),2008-2024,538,601,87,27134,254,52.78,34134,79.49,80,141,38,2683,303
DPMD Jayawardene (Asia/SL),1997-2015,652,725,62,25957,374,39.15,40100,64.73,54,136,47,2679,170
JH Kallis (Afr/ICC/SA),1995-2014,519,617,97,25534,224,49.1,45346,56.3,62,149,33,2455,254
R Dravid (Asia/ICC/IND),1996-2012,509,605,72,24208,270,45.41,46564,51.98,48,146,21,2604,66
BC Lara (ICC/WI),1990-2007,430,521,38,22358,400,46.28,32839,68.08,53,111,33,2601,221
ST Jayasuriya (Asia/SL),1989-2011,586,651,35,21032,340,34.14,25910,81.17,42,103,53,2486,352
S Chanderpaul (WI),1994-2015,454,553,94,20988,203,45.72,40150,52.27,41,125,21,2041,126
Inzamam-ul-Haq (Asia/ICC/PAK),1991-2007,499,551,76,20580,329,43.32,32172,63.96,35,129,35,2076,193
JE Root (ENG),2012-2024,352,462,50,20169,262,48.95,30529,66.06,51,108,23,1976,109
AB de Villiers (Afr/SA),2004-2018,420,484,68,20014,278,48.11,26787,74.71,47,109,20,2004,328
CH Gayle (ICC/WI),1999-2021,483,551,35,19593,333,37.97,25370,77.22,42,105,44,2332,553
RG Sharma (IND),2007-2024,488,519,65,19367,264,42.65,22186,87.29,48,107,34,1865,624
DA Warner (AUS),2009-2024,383,474,26,18995,335,42.39,21944,86.56,49,98,23,2106,321
HM Amla (SA/World),2004-2019,349,437,36,18672,311,46.56,28718,65.01,55,88,19,2138,93
SC Ganguly (Asia/IND),1992-2008,424,488,40,18575,239,41.46,29486,62.99,38,107,29,2022,247
SR Waugh (AUS),1985-2004,493,548,104,18496,200,41.65,32432,57.03,35,95,37,1705,88
KS Williamson (NZ),2010-2024,360,427,47,18266,251,48.06,27727,65.87,45,98,20,1849,139
LRPL Taylor (NZ),2006-2022,450,510,84,18199,290,42.72,24847,73.24,40,93,29,1766,273
Younis Khan (PAK),2000-2017,408,491,45,17790,313,39.88,29367,60.57,41,83,43,1691,138
